model,release_date,input_price,output_price,AA_Intelligence,AA_CodingAgent,SWEbench_Verified,SWEbench_Pro,TerminalBench21,ALE,DeepSWE,GDPval_AA,FrontendArena,BrowseComp,ARC_AGI_3,context_k
GPT-5.6 Sol,2026-07-09,5.00,30.00,58.9,80.0,96.2,64.6,88.8,52.7,72.7,1747.8,,92.2,,1050
GPT-5.6 Terra,2026-07-09,2.00,12.00,55.0,77.4,,63.4,87.4,50.4,69.6,1593.0,,,,1050
GPT-5.6 Luna,2026-07-09,0.20,1.20,51.2,74.6,92.9,62.7,84.7,50.3,67.2,1591.8,,,,1050
Claude Fable 5,2026-07-01,10.00,50.00,59.9,77.2,95.0,80.0,86.0,40.5,69.7,1759.6,,,,200
Claude Opus 5,2026-07-24,5.00,25.00,,,97.0,,,,,,90.8,30.2,1000
Kimi K3,2026-07-16,3.00,15.00,,,93.4,,,,,1687.0,1679,91.2,,1000
GPT-5.5,2026-04-23,5.00,30.00,54.8,76.4,85.1,59.4,85.6,46.9,67.0,1493.7,,,,1000
Claude Opus 4.8,,5.00,25.00,55.7,72.5,88.6,69.2,78.9,45.2,59.0,1600.1,,,,1000
